Nom_llibre|Usuari|Puntuacio|Titol|Data|Text|Votacions
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|María de Miguel|5,0 de 5 estrellas|Me sorprendió gratamente|Revisado en España el 6 de enero de 2020|Muy chulo! Me sorprendió gratamente. Es tamaño folio, así que bastante grande, para que los peques puedan repasar bien las líneas y las letras. Recomiendo para los niños que están empezando a trabajar la escritura.|A 9 personas les ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|Jbueno|5,0 de 5 estrellas|Buen tamaño|Revisado en España el 3 de abril de 2020|Para estos dias de cuarentena, el producto ideal para los nenes, y lo mas importante, que tiene muchas paginas para poder ir haciendo por dias, a mi hija de 3 años le encanta ponerse con ello|A 4 personas les ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|macazores|2,0 de 5 estrellas|No lo volveré a comprar|Revisado en España el 9 de enero de 2020|No me ha gustado nada. Son hojas con largas línea pespunteadas. A la niña no le llama la atención para nada. Luego trae el alfabeto...pero como las primeras páginas, no le llama la atención. Pensé que vendría con formas y dibujos para llamar la atención de mi niña...pero no.|A 3 personas les ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|Merche|3,0 de 5 estrellas|Cuaderno normal|Revisado en España el 21 de diciembre de 2019|Esta bien, pero para tres años no es el producto ideal|A 6 personas les ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|Cliente Amazon|5,0 de 5 estrellas|Perfecto|Revisado en España el 17 de enero de 2020|Perfecto para los niños de 3 años, muy completo|A 2 personas les ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|Felix|5,0 de 5 estrellas|Esta genial|Revisado en España el 2 de abril de 2020|Le gusta mucho hacer sus fichas es para 3 años|A una persona le ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|Compritas Guays|5,0 de 5 estrellas|Correcto|Revisado en España el 19 de enero de 2020|Tal y como indica la descripción|A una persona le ha parecido esto útil
Aprendiendo a repasar: Líneas Formas Letras: Libro de actividades para niños: +3 años: Un cuaderno de actividades infantiles para aprender a repasar ... y niñas de preescolar y educación infantil|LILY|3,0 de 5 estrellas|Cuaderno de repetición de reseguir linias|Revisado en España el 6 de abril de 2020|Cuaderno de ejercicios de escribir y reseguir, buena encuadernación.nun poco repetitivo en los ejercicios.|
La chica de nieve|Cristina p|2,0 de 5 estrellas|Pesado|Revisado en España el 16 de marzo de 2020|Llevaba meses esperando el libro. He de decir que los otros libros de este auto me han encantado... pero este no... es muy previsible y pesado.Desde el principio sabes cual va a ser el final y cual será el desenlace.... me ha costado leerlo entero.... sin embargo los otros libros son maravillosos.|A 11 personas les ha parecido esto útil
La chica de nieve|Monica Martin 🦋🦋|5,0 de 5 estrellas|ESPECTACULAR|Revisado en España el 21 de marzo de 2020|La Chica de Nieve es un Thriller lleno de misterio y lo más importante, una simple distracción dejará huella en la vida de la familia Templeton. Un mar de preguntas sin resolver que iras descubriendo a lo largo de la novela: ¿Dónde está Kiera? ¿Quién se la a podido llevar? ¿Conseguirán encontrarla?Los personajes están muy bien desarrollados y hilados, descritos psicológicamente con toda la trama dentro de los saltos en el tiempo y lo mejor es que deja al lector volar en la imaginación de cada uno en el detalle físico.Es una historia que engancha, como todas las de este gran autor desde la primera estrofa. Los tiempos son primordiales para no perderte los momentos en los que hacen que conozcas más fondo la historia.Javier Castillo en este libro a querido plasmar lo real. Es muy diferente a lo que os podáis imaginar sobre los anteriores. Un libro que me ha hecho llegar muy lejos. Mientras leía me hacía poner en la propia piel de unos padres desesperados por encontrar lo más valioso que tienen en su vida. Me ha emocionado, me ha hecho sentir adrenalina en cada latido del corazón y el alma en la mano. Algo cautivador que tiene el autor es la forma de atraparte en cada capítulo, su sencillez, la forma de no soltarte y escribir personajes femeninos con tanto respeto. Me han flipado las frases a principio del capítulo, creo que plasma súper bien en lo que el autor quiere mostrar en cada faceta.A mi me a tenido súper enganchada, siempre quería saber más y más... con un ritmo trepidante y adictivo.Los cambios emocionales que vive la familia a lo largo de la trama cuando un familiar desaparece son tan reales, la fuerza en la que lo expresa y la destrucción que supone interna del ser humano tal y como lo muestra es muy auténtica. Miren Triggs me ha dejado sorprendida por su carisma y la capacidad de superación pero lo que esconde este personaje es un verdadero motivo que hace que esta búsqueda sea tan absoluta. Sin palabras otra vez. ESPECTACULAR!!El porqué de cada incógnita lo encontrarás en su interior.Gracias por escribir. Os devorará las horas en cada página.|A 7 personas les ha parecido esto útil
